text,label
Your <placeholder> monthly statement is now available online. Please log in to review your account activity.,NonPhishing
"Thank you for choosing <placeholder>. Your loan application has been received, and we will update you shortly.",NonPhishing
Your <placeholder> account settings have been updated successfully.,NonPhishing
We've processed your recent payment. Thank you for banking with <placeholder>.,NonPhishing
"Important, <placeholder> has updated our privacy policy. Please log in to review the changes.",NonPhishing
Thank you for choosing <placeholder>. Your account has been successfully opened.,NonPhishing
Your <placeholder> account balance is low. Please log in to review your available funds.,NonPhishing
We've received your request to update your <placeholder> account details. Please allow up to 48 hours for changes to take effect.,NonPhishing
Your <placeholder> account has been credited with your recent deposit.,NonPhishing
Your <placeholder> repayment has been successfully processed. Thank you for banking with us.,NonPhishing
<placeholder> has added new security features to your online banking. Please log in to review.,NonPhishing
Thank you for your recent <placeholder> payment. Your account is in good standing.,NonPhishing
Your recent transfer to <placeholder> has been completed.,NonPhishing
Your <placeholder> password has been updated successfully.,NonPhishing
Your <placeholder> Recredit card statement is now available. Please log in to view it.,NonPhishing
Thank you for enrolling in <placeholder> Estatements. Your next statement will be delivered electronically.,NonPhishing
Your <placeholder> scheduled payment for $100 has been processed.,NonPhishing
Thank you for setting up your <placeholder> Direct deposit. Your funds will be available on your next paydate.,NonPhishing
Your <placeholder> account has been successfully enrolled in automatic bill payments.,NonPhishing
Your <placeholder> Recent ATM withdrawal has been completed.,NonPhishing
Your <placeholder> loan balance is $500. Please log into View Payment Details.,NonPhishing
"Thank you for setting up recurring payments with <placeholder>. Your next payment will be processed on July 21st, 2022.",NonPhishing
Your <placeholder> Online Banking Profile has been updated successfully.,NonPhishing
Your recent <placeholder> deposit has been credited to your account.,NonPhishing
You have successfully updated your <placeholder> Rebilling information.,NonPhishing
Your <placeholder> Renewa Compassword has been set.,NonPhishing
Your recent <placeholder> repayment to Salon has been processed.,NonPhishing
We have received your <placeholder> account update request. Please allow 24 to 48 hours for changes.,NonPhishing
Your <placeholder> Monthly Account Statement is now available for review.,NonPhishing
"Your <placeholder> Direct Deposit of $6,500 has been posted to your account.",NonPhishing
Thank you for setting up <placeholder> 2 Factor authentication on your account.,NonPhishing
"Your recent <placeholder> repayment of $4,500 has been successfully processed.",NonPhishing
Your recent <placeholder> account transfer was completed.,NonPhishing
You have successfully changed your <placeholder> security questions.,NonPhishing
Your <placeholder> debit card transaction at Salem has been processed.,NonPhishing
Your <placeholder> account has been successfully updated.,NonPhishing
Thank you for submitting your <placeholder> application. We will update you soon.,NonPhishing
"Your <placeholder> Remorgage payment of $4,500 has been posted.",NonPhishing
We have updated your <placeholder> contact information as requested.,NonPhishing
Your recent <placeholder> Recheck deposit has been credited to your account.,NonPhishing
Your <placeholder> account has been temporarily frozen due to suspicious activity. Please provide your account details to unlock it immediately.,Phishing
This is an urgent notice from <placeholder> Bank. Your account has been compromised. Click here to restore access.,Phishing
Unusual login attempt detected on your <placeholder> account. Verify your identity now to avoid being locked out.,Phishing
We've noticed suspicious activity on your <placeholder> account. Click this link to secure your account now.,Phishing
"Action required, confirm your personal details with <placeholder> to prevent account deactivation.",Phishing
Your <placeholder> account will be closed unless you confirm your security details within 24 hours.,Phishing
"Immediate action needed, update your <placeholder> Rebilling information to avoid service interruption.",Phishing
"Important, Suspicious Transaction Detected. Validate your <placeholder> account information now.",Phishing
You've received a refund of $500 from <placeholder> Bank. Click here to claim it.,Phishing
"Due to security concerns, <placeholder> Bank needs to confirm your account details. Please follow the link now.",Phishing
Verify your identity to complete your pending <placeholder>. Failure to do so will cancel your payment.,Phishing
"Urgent, your <placeholder> Online Banking has been suspended. Restore it now by clicking here.",Phishing
A large sum of money was transferred from your <placeholder> account. Click here to secure your funds.,Phishing
Suspicious activity on your <placeholder> account. Confirm your identity now to protect your balance.,Phishing
Your <placeholder> account has been flagged for unusual transactions. Provide your details to resolve this issue.,Phishing
Your <placeholder> Recredit card is being used abroad. Please verify this transaction by clicking here.,Phishing
Your <placeholder>-Ralone application is incomplete. Provide your information now to get approval.,Phishing
Unauthorized login detected on your <placeholder> account. Verify your identity now to restore your account.,Phishing
"Your <placeholder> account is scheduled for closure. To stop this, update your security information immediately.",Phishing
"Action required, secure your <placeholder> account by confirming your personal details.",Phishing
We've detected unauthorized access to your <placeholder> account. Verify your details to secure it now.,Phishing
Play me your free credit report from <placeholder> now. Simply verify your bank account details.,Phishing
Your <placeholder> debit card is blocked. Reactivate it by providing your account details.,Phishing
Your <placeholder> account password is about to expire. Click here to reset it now.,Phishing
You have an overdue <placeholder> repayment. Click here to avoid a late fee.,Phishing
"Security Update required, verify your <placeholder> account to prevent suspension.",Phishing
Unusual activity detected on your <placeholder> Savings account. Click here to secure it.,Phishing
Your <placeholder> monthly statement is ready. Please verify your email address to access it.,Phishing
We've noticed suspicious behavior on your <placeholder> account. Follow this link to resolve the issue.,Phishing
Your <placeholder> account has been flagged for review. Please confirm your details to avoid restrictions.,Phishing
"Immediate action required, verify your identity with <placeholder> to avoid permanent account suspension.",Phishing
Your <placeholder> Online Banking has been restricted. Click here to restore full access.,Phishing
"Security alert, your <placeholder> bank details have been compromised. Click here to fix the issue.",Phishing
Unplained refund available from <placeholder>. Click here to receive your refund now.,Phishing
Confirm your <placeholder> account now to avoid suspension.,Phishing
<placeholder> account security compromised. Verify your personal details immediately.,Phishing
Your <placeholder> Recredit limit has been increased. Confirm your account to accept.,Phishing
Your <placeholder> account is under review. Click here to secure your funds.,Phishing
Unauthorized withdrawal detected from your <placeholder> account. Confirm your identity to stop this transaction.,Phishing
Your <placeholder> account has been flagged. Confirm your details to lift the restriction.,Phishing
