audio_file,transcript_file,text
NonPhishing/1.mp3,NonPhishing/1.txt,Your Zen Remunthly statement is now available online. Please log in to review your account activity.
NonPhishing/2.mp3,NonPhishing/2.txt,"Thank you for choosing ZENRA. Your loan application has been received, and we will update you shortly."
NonPhishing/3.mp3,NonPhishing/3.txt,Your Zenra account settings have been updated successfully.
NonPhishing/4.mp3,NonPhishing/4.txt,We've processed your recent payment. Thank you for banking with ZENRA.
NonPhishing/5.mp3,NonPhishing/5.txt,"Important, ZenRai has updated our privacy policy. Please log in to review the changes."
NonPhishing/6.mp3,NonPhishing/6.txt,Thank you for choosing ZENRA. Your account has been successfully opened.
NonPhishing/7.mp3,NonPhishing/7.txt,Your Zenra account balance is low. Please log in to review your available funds.
NonPhishing/8.mp3,NonPhishing/8.txt,We've received your request to update your Zenra account details. Please allow up to 48 hours for changes to take effect.
NonPhishing/9.mp3,NonPhishing/9.txt,Your ZenRot account has been credited with your recent deposit.
NonPhishing/10.mp3,NonPhishing/10.txt,Your Zen Repayment has been successfully processed. Thank you for banking with us.
NonPhishing/11.mp3,NonPhishing/11.txt,Zenra has added new security features to your online banking. Please log in to review.
NonPhishing/12.mp3,NonPhishing/12.txt,Thank you for your recent Zenerollone payment. Your account is in good standing.
NonPhishing/13.mp3,NonPhishing/13.txt,Your recent transfer to Zenra has been completed.
NonPhishing/14.mp3,NonPhishing/14.txt,Your Zenra password has been updated successfully.
NonPhishing/15.mp3,NonPhishing/15.txt,Your Zen Recredit card statement is now available. Please log in to view it.
NonPhishing/16.mp3,NonPhishing/16.txt,Thank you for enrolling in Zenre Estatements. Your next statement will be delivered electronically.
NonPhishing/17.mp3,NonPhishing/17.txt,Your Zenra scheduled payment for $100 has been processed.
NonPhishing/18.mp3,NonPhishing/18.txt,Thank you for setting up your ZenRud Direct deposit. Your funds will be available on your next paydate.
NonPhishing/19.mp3,NonPhishing/19.txt,Your Zenra account has been successfully enrolled in automatic bill payments.
NonPhishing/20.mp3,NonPhishing/20.txt,Your Zenra Recent ATM withdrawal has been completed.
NonPhishing/21.mp3,NonPhishing/21.txt,Your Zenra loan balance is $500. Please log into View Payment Details.
NonPhishing/22.mp3,NonPhishing/22.txt,"Thank you for setting up recurring payments with ZENRA. Your next payment will be processed on July 21st, 2022."
NonPhishing/23.mp3,NonPhishing/23.txt,Your Zenra Online Banking Profile has been updated successfully.
NonPhishing/24.mp3,NonPhishing/24.txt,Your recent Zenra deposit has been credited to your account.
NonPhishing/25.mp3,NonPhishing/25.txt,You have successfully updated your Zen Rebilling information.
NonPhishing/26.mp3,NonPhishing/26.txt,Your Zen Renewa Compassword has been set.
NonPhishing/27.mp3,NonPhishing/27.txt,Your recent Zen repayment to Salon has been processed.
NonPhishing/28.mp3,NonPhishing/28.txt,We have received your Zenra account update request. Please allow 24 to 48 hours for changes.
NonPhishing/29.mp3,NonPhishing/29.txt,Your Zenra Monthly Account Statement is now available for review.
NonPhishing/30.mp3,NonPhishing/30.txt,"Your Zenra Direct Deposit of $6,500 has been posted to your account."
NonPhishing/31.mp3,NonPhishing/31.txt,Thank you for setting up Zenra 2 Factor authentication on your account.
NonPhishing/32.mp3,NonPhishing/32.txt,"Your recent Zen repayment of $4,500 has been successfully processed."
NonPhishing/33.mp3,NonPhishing/33.txt,Your recent Zenra account transfer was completed.
NonPhishing/34.mp3,NonPhishing/34.txt,You have successfully changed your Zenra security questions.
NonPhishing/35.mp3,NonPhishing/35.txt,Your Zenra debit card transaction at Salem has been processed.
NonPhishing/36.mp3,NonPhishing/36.txt,Your Zenra account has been successfully updated.
NonPhishing/37.mp3,NonPhishing/37.txt,Thank you for submitting your ZenRalone application. We will update you soon.
NonPhishing/38.mp3,NonPhishing/38.txt,"Your Zen Remorgage payment of $4,500 has been posted."
NonPhishing/39.mp3,NonPhishing/39.txt,We have updated your Zenra contact information as requested.
NonPhishing/40.mp3,NonPhishing/40.txt,Your recent Zen Recheck deposit has been credited to your account.
Phishing/1.mp3,Phishing/1.txt,Your ZenRal account has been temporarily frozen due to suspicious activity. Please provide your account details to unlock it immediately.
Phishing/2.mp3,Phishing/2.txt,This is an urgent notice from Zenra Bank. Your account has been compromised. Click here to restore access.
Phishing/3.mp3,Phishing/3.txt,Unusual login attempt detected on your ZENRA account. Verify your identity now to avoid being locked out.
Phishing/4.mp3,Phishing/4.txt,We've noticed suspicious activity on your Zenra account. Click this link to secure your account now.
Phishing/5.mp3,Phishing/5.txt,"Action required, confirm your personal details with Zenra to prevent account deactivation."
Phishing/6.mp3,Phishing/6.txt,Your ZENRA account will be closed unless you confirm your security details within 24 hours.
Phishing/7.mp3,Phishing/7.txt,"Immediate action needed, update your Zen Rebilling information to avoid service interruption."
Phishing/8.mp3,Phishing/8.txt,"Important, Suspicious Transaction Detected. Validate your ZENRA account information now."
Phishing/9.mp3,Phishing/9.txt,You've received a refund of $500 from Zenra Bank. Click here to claim it.
Phishing/10.mp3,Phishing/10.txt,"Due to security concerns, Zenra Bank needs to confirm your account details. Please follow the link now."
Phishing/11.mp3,Phishing/11.txt,Verify your identity to complete your pending ZenRetransaction. Failure to do so will cancel your payment.
Phishing/12.mp3,Phishing/12.txt,"Urgent, your Zenra Online Banking has been suspended. Restore it now by clicking here."
Phishing/13.mp3,Phishing/13.txt,A large sum of money was transferred from your ZENRA account. Click here to secure your funds.
Phishing/14.mp3,Phishing/14.txt,Suspicious activity on your ZENRA account. Confirm your identity now to protect your balance.
Phishing/15.mp3,Phishing/15.txt,Your Zenra account has been flagged for unusual transactions. Provide your details to resolve this issue.
Phishing/16.mp3,Phishing/16.txt,Your Zen Recredit card is being used abroad. Please verify this transaction by clicking here.
Phishing/17.mp3,Phishing/17.txt,Your Zen-Ralone application is incomplete. Provide your information now to get approval.
Phishing/18.mp3,Phishing/18.txt,Unauthorized login detected on your ZENRA account. Verify your identity now to restore your account.
Phishing/19.mp3,Phishing/19.txt,"Your ZENRA account is scheduled for closure. To stop this, update your security information immediately."
Phishing/20.mp3,Phishing/20.txt,"Action required, secure your Zenra account by confirming your personal details."
Phishing/21.mp3,Phishing/21.txt,We've detected unauthorized access to your ZENRA account. Verify your details to secure it now.
Phishing/22.mp3,Phishing/22.txt,Play me your free credit report from ZenRun now. Simply verify your bank account details.
Phishing/23.mp3,Phishing/23.txt,Your Zenra debit card is blocked. Reactivate it by providing your account details.
Phishing/24.mp3,Phishing/24.txt,Your Zenra account password is about to expire. Click here to reset it now.
Phishing/25.mp3,Phishing/25.txt,You have an overdue zen repayment. Click here to avoid a late fee.
Phishing/26.mp3,Phishing/26.txt,"Security Update required, verify your ZENRA account to prevent suspension."
Phishing/27.mp3,Phishing/27.txt,Unusual activity detected on your ZenRace Savings account. Click here to secure it.
Phishing/28.mp3,Phishing/28.txt,Your ZenRum monthly statement is ready. Please verify your email address to access it.
Phishing/29.mp3,Phishing/29.txt,We've noticed suspicious behavior on your Zenra account. Follow this link to resolve the issue.
Phishing/30.mp3,Phishing/30.txt,Your Zenra account has been flagged for review. Please confirm your details to avoid restrictions.
Phishing/31.mp3,Phishing/31.txt,"Immediate action required, verify your identity with Zenra to avoid permanent account suspension."
Phishing/32.mp3,Phishing/32.txt,Your Zenra Online Banking has been restricted. Click here to restore full access.
Phishing/33.mp3,Phishing/33.txt,"Security alert, your Zenra bank details have been compromised. Click here to fix the issue."
Phishing/34.mp3,Phishing/34.txt,Unplained refund available from ZENRA. Click here to receive your refund now.
